中文电影名,英文电影名,其他电影名,评分
穿越时空的少女,時をかける少女,跳跃吧！时空少女(台)  /  Toki o kakeru shôjo,8.6
谍影重重2,The Bourne Supremacy,叛谍追击2：机密圈套(港)  /  神鬼认证：神鬼疑云(台),8.7
彗星来的那一夜,Coherence,相干性  /  相干效应,8.5
东京教父,東京ゴッドファーザーズ,Tokyo Godfathers,9.0
阿飞正传,阿飛正傳,Days of Being Wild,8.5
战争之王,Lord of War,军火之王(台 / 港) ,8.7
地球上的星星,Taare Zameen Par,心中的小星星(台)  /  每一个孩子都是特别的,8.9
完美陌生人,Perfetti sconosciuti,完美谎情(港)  /  波动的信息分享,8.5
无间道2,無間道II,无间道前传  /  Infernal Affairs II,8.6
谍影重重,The Bourne Identity,叛谍追击(港)  /  神鬼认证(台),8.6
香水,Perfume: The Story of a Murderer,香水：一个杀人犯的故事  /  香水：一个谋杀犯的故事,8.5
千钧一发,Gattaca,变种异煞(港)  /  自然人,8.8
东京物语,東京物語,东京故事  /  东京纪行,9.2
黑客帝国2：重装上阵,The Matrix Reloaded,22世纪杀人网络2：决战未来(港)  /  骇客任务：重装上阵(台),8.6
崖上的波妞,崖の上のポニョ,悬崖上的金鱼姬  /  悬崖上的金鱼公主,8.5
驴得水,Mr. Donkey,-,8.3
再次出发之纽约遇见你,Begin Again,再次出发  /  歌曲改变人生,8.6
朗读者,The Reader,为爱朗读(台)  /  读爱(港),8.6
我爱你,그대를 사랑합니다,爱你  /  爱，是一生相伴(台),9.1
猜火车,Trainspotting,迷幻列车(港)  /  定位的火车,8.5
聚焦,Spotlight,焦点追击(港)  /  惊爆焦点(台),8.8
浪潮,Die Welle,恶魔教室(台)  /  白恤暴潮(港),8.7
小萝莉的猴神大叔,Bajrangi Bhaijaan,娃娃返乡任务(台)  /  宝莱坞之钢铁奶爸(台),8.4
追随,Following,跟踪(台)  /  致命追踪,8.9
网络谜踪,Searching,人肉搜寻(港)  /  人肉搜索(台),8.6
黑鹰坠落,Black Hawk Down,黑鹰15小时(港)  /  黑鹰计划(台),8.7
